City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sorong,-0.8833,131.25,78.21,87,99,7.29,ID,2023-11-09
1,albany,42.6001,-73.9662,47.64,75,100,1.01,US,2023-11-09
2,port-aux-francais,-49.35,70.2167,41.54,99,100,26.75,TF,2023-11-09
3,waitangi,-43.9535,-176.5597,47.88,62,73,32.23,NZ,2023-11-09
4,ujae,8.9322,165.7642,82.99,78,87,21.34,MH,2023-11-09
5,bel ombre,-4.6167,55.4167,82.24,78,20,3.44,SC,2023-11-09
6,blackmans bay,-43.0167,147.3167,56.52,95,5,5.17,AU,2023-11-09
7,qaqortoq,60.7167,-46.0333,32.13,79,98,6.15,GL,2023-11-09
8,georgetown,5.4112,100.3354,79.02,97,40,3.44,MY,2023-11-09
9,cogealac,44.55,28.5667,44.64,51,3,0.83,RO,2023-11-09
10,adamstown,-25.066,-130.1015,72.41,87,100,15.35,PN,2023-11-09
11,margaret river,-33.95,115.0667,56.34,62,94,10.45,AU,2023-11-09
12,stephenville,32.2207,-98.2023,59.76,90,100,18.41,US,2023-11-09
13,grytviken,-54.2811,-36.5092,37.17,99,100,8.61,GS,2023-11-09
14,port alfred,-33.5906,26.891,63.18,88,1,3.56,ZA,2023-11-09
15,san pedro pochutla,15.7333,-96.4667,90.68,52,41,7.18,MX,2023-11-09
16,isafjordur,66.0755,-23.124,39.24,65,75,18.41,IS,2023-11-09
17,ottumwa,41.02,-92.4113,59.54,40,0,14.97,US,2023-11-09
18,luderitz,-26.6481,15.1594,57.67,90,1,5.55,NA,2023-11-09
19,tura,25.5198,90.2201,63.07,71,0,2.46,IN,2023-11-09
20,olonkinbyen,70.9221,-8.7187,27.52,68,99,5.37,SJ,2023-11-09
21,utrik,11.2278,169.8474,81.63,80,98,22.48,MH,2023-11-09
22,portland,45.5234,-122.6762,46.62,95,75,8.01,US,2023-11-09
23,san antonio de pale,-1.4014,5.6325,78.62,80,38,14.27,GQ,2023-11-09
24,puerto natales,-51.7236,-72.4875,57.65,35,20,28.77,CL,2023-11-09
25,balkanabat,39.5108,54.3671,62.74,32,34,6.73,TM,2023-11-09
26,college,64.8569,-147.8028,37.38,62,100,12.66,US,2023-11-09
27,sinah,36.809,43.0389,65.75,39,99,4.41,IQ,2023-11-09
28,floro,61.5996,5.0328,42.76,65,0,9.22,NO,2023-11-09
29,nampula,-15.1165,39.2666,84.15,58,75,13.8,MZ,2023-11-09
30,west island,-12.1568,96.8225,78.78,89,84,10.36,CC,2023-11-09
31,ushuaia,-54.8,-68.3,51.46,35,40,16.11,AR,2023-11-09
32,sao joao da barra,-21.6403,-41.0511,87.89,69,0,18.7,BR,2023-11-09
33,daru,-9.0763,143.2092,74.39,83,100,5.79,PG,2023-11-09
34,sur,22.5667,59.5289,80.85,63,0,8.12,OM,2023-11-09
35,port elizabeth,-33.918,25.5701,62.89,82,0,4.61,ZA,2023-11-09
36,fort bragg,35.139,-79.006,80.65,55,0,8.05,US,2023-11-09
37,saryozek,44.3583,77.9753,41.02,87,100,2.57,KZ,2023-11-09
38,puerto ayora,-0.7393,-90.3518,84.16,100,87,11.01,EC,2023-11-09
39,sao francisco do sul,-26.2433,-48.6381,91.31,52,20,11.5,BR,2023-11-09
40,nagqu,31.5,92.0,19.17,61,79,2.86,CN,2023-11-09
41,hithadhoo,-0.6,73.0833,81.16,80,86,7.72,MV,2023-11-09
42,edinburgh of the seven seas,-37.0676,-12.3116,54.99,71,49,12.64,SH,2023-11-09
43,bethel,41.3712,-73.414,54.01,72,100,3.44,US,2023-11-09
44,kodiak,57.79,-152.4072,31.51,55,0,9.22,US,2023-11-09
45,praia da vitoria,38.7333,-27.0667,70.05,88,40,19.17,PT,2023-11-09
46,hafar al-batin,28.4328,45.9708,72.18,26,0,9.22,SA,2023-11-09
47,guaraniacu,-25.1008,-52.8781,72.7,78,100,6.29,BR,2023-11-09
48,kassala,15.451,36.4,88.83,36,92,8.61,SD,2023-11-09
49,tadine,-21.55,167.8833,69.44,70,98,14.72,NC,2023-11-09
50,kapuskasing,49.4169,-82.4331,30.2,86,100,12.66,CA,2023-11-09
51,wailua homesteads,22.0669,-159.378,77.79,79,75,20.71,US,2023-11-09
52,bilibino,68.0546,166.4372,-6.48,99,97,3.24,RU,2023-11-09
53,lagunas,-5.2269,-75.6753,86.79,73,47,3.02,PE,2023-11-09
54,bredasdorp,-34.5322,20.0403,60.87,71,0,7.94,ZA,2023-11-09
55,usogorsk,63.4106,48.6872,32.67,96,100,6.53,RU,2023-11-09
56,sitangkai,4.6628,119.3928,83.35,75,13,4.94,PH,2023-11-09
57,hawaiian paradise park,19.5933,-154.9731,75.04,87,40,5.75,US,2023-11-09
58,siocon,7.7061,122.1353,79.48,87,19,2.86,PH,2023-11-09
59,yemetsk,63.4721,41.7941,29.61,91,89,1.39,RU,2023-11-09
60,anadyr,64.75,177.4833,21.7,79,75,15.66,RU,2023-11-09
61,port saint john's,-31.6229,29.5448,65.77,82,53,0.63,ZA,2023-11-09
62,fortaleza,-3.7227,-38.5247,87.93,55,0,23.02,BR,2023-11-09
63,ilulissat,69.2167,-51.1,28.42,74,75,11.5,GL,2023-11-09
64,longyearbyen,78.2186,15.6401,28.24,93,100,23.02,SJ,2023-11-09
65,whitehorse,60.7161,-135.0538,38.17,81,40,16.11,CA,2023-11-09
66,haiku-pauwela,20.9219,-156.3051,77.04,74,20,9.22,US,2023-11-09
67,nemuro,43.3236,145.575,54.93,87,82,29.28,JP,2023-11-09
